anno,blocco,riga,colonna,valore,categoria
2014,F,514,F050,-1211,importazioni (segno negativo per convenzione)
2014,F,521CI,F050,-7347,importazioni (segno negativo per convenzione)
2014,F,523,F050,-61,importazioni (segno negativo per convenzione)
2014,F,524,F050,-52365,importazioni (segno negativo per convenzione)
2014,F,5411,F050,-2664,importazioni (segno negativo per convenzione)
2014,F,5415,F050,-28234,importazioni (segno negativo per convenzione)
2014,F,5412OP,F050,-81294,importazioni (segno negativo per convenzione)
2014,F,561,F050,-1348,importazioni (segno negativo per convenzione)
2014,F,562,F050,-160,importazioni (segno negativo per convenzione)
2014,F,61,F050,-1343,importazioni (segno negativo per convenzione)
2014,F,621,F050,-79,importazioni (segno negativo per convenzione)
2014,F,622,F050,-3039,importazioni (segno negativo per convenzione)
2014,F,623,F050,-23,importazioni (segno negativo per convenzione)
2014,F,711AS,F050,-1037,importazioni (segno negativo per convenzione)
2014,F,81,F050,-3322,importazioni (segno negativo per convenzione)
2014,F,GFE,F050,-414,importazioni (segno negativo per convenzione)
2014,F,Used,F02S,-2011,riga o colonna speciale (Used/Other)
2014,F,Used,F02E,-106611,riga o colonna speciale (Used/Other)
2014,F,Used,F02R,-800,riga o colonna speciale (Used/Other)
2014,F,Used,F050,-14504,importazioni (segno negativo per convenzione)
2014,F,Used,F06S,-4,riga o colonna speciale (Used/Other)
2014,F,Used,F07S,-202,riga o colonna speciale (Used/Other)
2014,F,Used,F07E,-1257,riga o colonna speciale (Used/Other)
2014,F,Used,F10E,-8111,riga o colonna speciale (Used/Other)
2014,F,Other,F010,-94231,riga o colonna speciale (Used/Other)
2014,F,Other,F050,-226295,importazioni (segno negativo per convenzione)
2014,VA,V002,GFE,-7268,sussidi superiori alle imposte
2014,VA,V002,GSLE,-17909,sussidi superiori alle imposte
2014,VA,V003,523,-476,da esaminare
2015,U,111CA,GFGN,-326,da esaminare
2015,U,Used,111CA,-43,riga o colonna speciale (Used/Other)
2015,U,Used,481,-140,riga o colonna speciale (Used/Other)
2015,U,Used,483,-92,riga o colonna speciale (Used/Other)
2015,U,Used,484,-282,riga o colonna speciale (Used/Other)
2015,U,Used,711AS,-127,riga o colonna speciale (Used/Other)
2015,U,Used,GFGD,-59,riga o colonna speciale (Used/Other)
2015,F,111CA,F050,-37570,importazioni (segno negativo per convenzione)
2015,F,113FF,F050,-16047,importazioni (segno negativo per convenzione)
2015,F,211,F050,-143304,importazioni (segno negativo per convenzione)
2015,F,212,F050,-5826,importazioni (segno negativo per convenzione)
2015,F,213,F030,-2,riduzione delle scorte
2015,F,213,F050,-1327,importazioni (segno negativo per convenzione)
2015,F,22,F050,-2670,importazioni (segno negativo per convenzione)
2015,F,321,F050,-18056,importazioni (segno negativo per convenzione)
2015,F,327,F050,-24581,importazioni (segno negativo per convenzione)
2015,F,331,F050,-73345,importazioni (segno negativo per convenzione)
2015,F,332,F050,-64913,importazioni (segno negativo per convenzione)
2015,F,333,F050,-151446,importazioni (segno negativo per convenzione)
2015,F,334,F050,-315507,importazioni (segno negativo per convenzione)
2015,F,335,F050,-92036,importazioni (segno negativo per convenzione)
2015,F,3361MV,F050,-317493,importazioni (segno negativo per convenzione)
2015,F,3364OT,F050,-56485,importazioni (segno negativo per convenzione)
2015,F,337,F050,-38580,importazioni (segno negativo per convenzione)
2015,F,339,F050,-91959,importazioni (segno negativo per convenzione)
2015,F,311FT,F050,-88239,importazioni (segno negativo per convenzione)
2015,F,313TT,F050,-31703,importazioni (segno negativo per convenzione)
2015,F,315AL,F050,-150852,importazioni (segno negativo per convenzione)
2015,F,322,F050,-22989,importazioni (segno negativo per convenzione)
2015,F,323,F050,-2474,importazioni (segno negativo per convenzione)
2015,F,324,F050,-60296,importazioni (segno negativo per convenzione)
