caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P1|largo|agg|T2,2,1.275882348,1,1.462380546,1.299693002,0.5413524923,0.311929124,4.1271657,2.028771751
P1|tetto110|agg|T1,2,1.288112288,1,1.015556243,0.9965649847,1.624124898,1.268461232,2.458905373,2.197190969
P1|stretto|agg|T1,2,1.288112288,1,1.015556243,0.9965649849,1.624124898,1.268461232,2.458905373,2.197190969
P1|E6|agg|T1,2,1.367656944,1,1.115025255,1.049711094,1.624124898,1.268121512,2.999749055,2.332229118
P3|q25,2,1.368353333,1,1.21907245,0.9028019094,1.624124898,1.267004618,3.256989243,2.348322432
P1|largo|agg|T3,2,1.374081949,1,1.230464587,1.090058237,1.296103845,1.201053779,3.792499385,2.179479703
P1|tetto100|nessuna|T3,2,1.383602954,1,1.12208453,0.7801831506,1.498324777,2.261000999,2.800660019,2.942491868
P3|q75,2,1.415118966,1,0.9645956167,1.441401256,1.624124898,1.270044933,2.851373895,1.978434736
P1|tetto100|nessuna|T2,2,1.442110244,1,1.208011335,0.7801831506,1.547961387,2.236682922,3.24188282,3.005943753
P1|largo|agg|T1,2,1.449982841,1,1.264541107,1.092632065,1.624124898,1.268341466,3.660426615,2.163008642
P1|tetto110|nessuna|T2,2,1.611821683,1,1.038610711,0.9087776258,2.08824391,3.070052407,3.800309696,2.258713499
P1|tetto100|nessuna|T1,2,1.619552958,1,1.148723915,0.7801831506,2.547832516,3.406729415,1.511484271,2.301343596
P1|stretto|nessuna|T2,2,1.642630962,1,1.035090099,0.9087776258,2.114837792,3.095617143,3.809423435,2.729403998
P1|stretto|nessuna|T3,2,1.65561556,1,1.031697766,0.9109379992,2.324223338,3.035219114,3.409309856,2.67985517
P1|tetto110|nessuna|T3,2,1.65561556,1,1.031697766,0.9109379992,2.324223338,3.035219114,3.409309856,2.67985517
P1|E6|nessuna|T2,2,1.667408813,1,1.151818473,1.108394331,1.962174502,2.734629418,4.521375229,1.947567367
P1|E6|nessuna|T3,2,1.672948392,1,1.12108125,1.108394331,2.003261682,2.939298168,4.050735582,2.139735701
P1|largo|nessuna|T2,2,1.692779978,1,1.256000533,1.300428333,1.750638059,2.606487257,4.237263757,2.064235867
P1|largo|nessuna|T3,2,1.761555095,1,1.216613159,1.292345518,2.210544792,2.791915483,3.918893867,1.832445848
P1|tetto110|nessuna|T1,2,1.783681539,1,0.972992743,1.213384565,2.553645883,3.903453992,2.214350342,2.319525084
P1|E6|nessuna|T1,2,1.802659038,1,1.101938162,1.426381433,2.417337156,2.935167096,3.281983541,2.061596827
P1|largo|nessuna|T1,2,1.807703984,1,1.343389957,1.416394997,2.057900874,2.629477189,4.165873127,1.938938953
P1|stretto|nessuna|T1,2,1.844911264,1,0.9877689129,1.213384565,2.798581733,3.914703857,2.33626343,2.331306343
condizionata|P1|E6|agg|T1,3,0.7185754218,1,0.7613795553,0.7120654576,0.4537319706,0.3282326715,1.754406644,1.30503849
P1|tetto100|agg|T2,3,0.7328039895,1,0.8525752134,0.7473487867,0.3901782417,0.324656242,1.106590347,1.739919992
P1|tetto100|ind|T2,3,0.7922081104,1,0.83283976,0.7703877123,0.6484151376,0.5880011003,1.058226774,1.396907849
P1|tetto100|agg+ind|T2,3,0.8103111104,1,0.8437431226,0.7707222501,0.7193228384,0.6165196882,1.056091974,1.353007268
P1|tetto100|agg+ind|T3,3,0.8104740482,1,0.724664716,0.7739831374,0.7395650388,0.9137375222,0.6250105433,1.8068481
