caso,h,gruppo,n,MAE,RMSE,WMAE,WRMSE,sMAPE,errore_tassi,segno,theil_U,rapporto_WMAE
P1|largo|agg|T3,1,consumo,355,11.89621453,26.50573707,24.27345014,41.27541949,0.1200360124,0.1246666076,0.6761904762,2.841993894,1.996283427
P1|largo|agg|T3,1,importazioni,355,8.24353426,25.73937559,45.05596174,68.08360072,0.194775363,0.1802006827,0.6283185841,3.93587986,4.21114034
P1|largo|agg|T3,1,investimento_ind,980,14.15159332,29.3072133,38.80784526,60.37454743,1.756178691,2.468114492,0.393877551,6.229631037,3.333741129
P1|largo|agg|T3,1,investimento_tipo,20,61.13853401,76.37194544,63.89026859,77.76052445,0.09370825936,0.10252318,0.45,1.572058174,1.414646383
P1|largo|agg|T3,1,produzione,355,25.44368442,49.44937272,39.67902516,65.80685842,0.0794852682,0.07422809709,0.6253521127,2.236698585,1.690222318
P1|largo|agg|T3,1,scorte,55,34.49622736,42.56591328,41.34822979,49.26007589,0.1644454225,0.1648663259,0.2727272727,3.373761609,3.400908387
P1|largo|agg|T3,1,stock_ind,980,14.0713621,29.30899632,44.56100508,73.1636366,0.2797380121,0.4911769069,0.3806122449,2.323670434,0.6853037614
P1|largo|agg|T3,1,stock_tipo,20,56.40912014,72.19730952,53.31481507,75.68495778,0.010709156,0.01100089821,1,0.4333707755,0.3742630192
P1|largo|ind|T1,1,aggregati,25,225.2856729,321.3016403,331.1450161,451.8508237,0.03898250891,0.03947752932,0.68,0.9143724072,0.6543406589
P1|largo|ind|T1,1,consumo,355,10.86751561,24.54064435,22.46829436,38.42462116,0.1110701021,0.1149553058,0.6666666667,2.631293037,1.847824821
P1|largo|ind|T1,1,importazioni,355,7.047725774,21.10237326,38.26449336,54.95307126,0.1846164849,0.161763642,0.6548672566,3.226822873,3.576378027
