,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
523,0,0,0,0,0,0,0.9282801102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17733.12092,432772.334,4762.981759,0,0,0,0,0,1235.701575,546.2423287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,4.641400551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.6484614,918323.9667,0,0,0,0,167.1963827,2384.250394,1488.966348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149442.505,0,0,0,0,47.72650919,32.64013915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,0,0,0,0,0,0,14193.40288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724436.327,0,0,0,46.68897638,21.12009004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,0,0,0,0,0,0,458.5703744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.08642,0,289.420622,0,0,1077845.465,0,0,163.9301837,156.4806671,0,0,0,0,0,0,0,0,0,0,39.26725542,0,129.1406764,0,0,0,0,0,0,0
532RL,0,0,0,0,0,0,90.9714508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.501549,0,2115.512362,213.6909656,0,0,0,919.7957679,12.3640741,0,0,0,0,0,0,0,88.04233462,33.6125367,646.8838405,0,0,1545.07772,323379.956,0,152.5173228,70.08029877,0,0,0,1.873730786,0,0,0,0,0,0,0,0,1222.594579,0,0,0,0,0,0,0
5411,0,0,0,0,0,0,1.85656022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296922.7004,308.1472441,191.0408144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5415,0,0,0,0,0,0,6.497960771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412.414144,0,0,0,629.6760452,0,0,0,0,0,0,0,0,7342.868618,0,155.3721879,14674.27273,0,0,0,0,0,0,190.0751974,0,372806.2887,9987.88258,0,3735.087053,0,777.5982761,0,0,0,0,0,0,0,0,2595.067752,0,0,0,0,0,0,0
5412OP,0,0,0,0,0,0,708.2777241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.9045916,0,0,0,0,0,0,508.2401584,2532.950245,0,0,0,0,0,0,0,0,0,0,0,31251.21131,0,402.5101269,0,0,0,0,24.62113956,0,11151.40262,1165421.928,0,1709.374024,0,0,0,0,0,0,0,0,0,0,1630.754527,0,0,0,0,0,0,0
55,0,0,0,0,0,0,109.537053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10966.72178,4182.737832,521595.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
