industria_io,tipo,anno,K_corrente,K_2012,I_corrente,I_2012,D_corrente,D_2012,K_inizio_2012,altre_variazioni_2012,delta,altre_variazioni_rel
481,S,2013,56648,54157.11086,792,759.3839732,1322,1277.292037,54681,-5.981080798,0.02335897363,-0.0001093813353
481,S,2014,57817,53435.3345,605,550.8146723,1364,1264.05061,54157.11086,-8.540421835,0.02334043656,-0.0001576971463
481,S,2015,58641,52849.22412,758,666.4730748,1387,1245.65843,53435.3345,-6.925022756,0.02331151179,-0.0001295963209
481,S,2016,61450,53264.31885,1966,1653.066269,1429,1246.27829,52849.22412,8.30675125,0.02358177079,0.0001571783009
482,E,2011,36965,37691.95881,4840,4895.957442,3316,3348.169449,,,,
482,E,2012,39589,39589,5281,5281,3412,3412,37691.95881,28.04118854,0.09052328687,0.0007439567861
482,E,2013,42421,42175.52962,6104,5965.712803,3503,3459.242155,39589,80.05897026,0.08737887177,0.002022252905
482,E,2014,48583,47426.95,9034,8725.324738,3690,3610.905806,42175.52962,137.0014449,0.08561613424,0.003248363356
482,E,2015,56268,53960.3874,10866,10270.0435,4047,3896.897241,47426.95,160.2911371,0.08216630504,0.003379747951
482,E,2016,59866,57923.3657,8506,8000.403263,4323,4140.801893,53960.3874,103.3769306,0.07673780884,0.001915792965
482,N,2011,1275,1262.299015,697,679.1143479,441,432.5301121,,,,
482,N,2012,1449,1449,760,760,572,572,1262.299015,-1.299014611,0.4531414454,-0.001029086291
482,N,2013,1553,1547.33437,746,757.3984983,646,657.4089884,1449,-1.655139417,0.4536984047,-0.001142263228
482,N,2014,1855,1866.87046,1063,1092.65568,749,771.5050207,1547.33437,-1.614570049,0.4986026521,-0.001043452585
